id,original_id,prompt_id,text_type,flesch_kincaid_grade,flesch_reading_ease,gunning_fog,smog_index,dale_chall,avg_sentence_length,subordinate_clauses,avg_word_length,lexical_density,type_token_ratio,passive_ratio,errors,transitions,subjectivity,formality,complexity,analyzed_at
1,1,1,prompt,8.0,48.47,9.07,0.0,11.83,7.0,0.0,5.28571428571429,0.285714285714286,1.0,0.0,0,0,0.0,0.0,5.0952380952381,2025-03-22 18:00:27
2,1,1,response,10.5,41.87,11.4,0.0,11.2,15.5,0.0,4.70967741935484,0.242424242424242,0.774193548387097,0.5,0,0,0.05,0.0,8.74747474747475,2025-03-22 18:00:27
3,2,2,prompt,-2.1,117.67,1.8,0.0,7.37,5.0,0.0,3.2,0.2,1.0,0.0,0,0,0.0,0.0,1.03333333333333,2025-03-22 18:00:27
4,2,2,response,3.5,87.01,8.02,8.8,9.56,12.3333333333333,0.0,3.75675675675676,0.405405405405405,0.783783783783784,0.0,0,0,0.0,0.0,5.41291291291291,2025-03-22 18:00:27
5,3,3,prompt,4.1,80.28,3.2,0.0,7.98,9.0,0.0,4.33333333333333,0.444444444444444,1.0,0.0,0,0,0.4,0.0,4.51481481481482,2025-03-22 18:00:27
6,3,3,response,11.6,44.34,12.79,13.8,9.81,21.0714285714286,0.0,4.93559322033898,0.491961414790997,0.566101694915254,0.0,0,0,0.542368421052632,0.0,11.0544633287399,2025-03-22 18:00:27
7,4,4,prompt,5.6,81.63,6.0,0.0,10.7,22.0,0.0,3.54545454545455,0.333333333333333,0.909090909090909,0.0,0,0,0.0,0.0,9.31111111111111,2025-03-22 18:00:27
8,4,4,response,7.2,72.16,6.4,0.0,6.4,18.0,1.0,3.83333333333333,0.333333333333333,0.833333333333333,0.0,0,0,0.0,0.0,8.51111111111111,2025-03-22 18:00:27
9,5,5,prompt,7.6,49.48,18.0,0.0,10.2,6.0,0.0,4.5,0.166666666666667,1.0,1.0,0,0,0.0,0.0,4.58888888888889,2025-03-22 18:00:27
10,5,5,response,8.8,46.44,13.2,0.0,11.93,10.0,0.0,4.0,0.1,1.0,1.0,0,0,0.0,0.0,6.3,2025-03-22 18:00:28
11,6,6,prompt,2.5,100.58,5.2,0.0,6.71,15.0,1.0,3.13333333333333,0.4,0.866666666666667,0.0,0,0,0.5,0.0,5.96666666666667,2025-03-22 18:00:28
12,6,6,response,8.2,74.83,11.14,9.7,7.63,25.0,0.333333333333333,3.57333333333333,0.426666666666667,0.626666666666667,0.333333333333333,0,0,0.3,0.0,11.2088888888889,2025-03-22 18:00:28
13,7,7,prompt,6.8,78.59,11.64,0.0,8.04,21.0,0.0,3.9047619047619,0.285714285714286,0.857142857142857,0.0,0,0,0.0,0.0,9.36190476190476,2025-03-22 18:00:28
14,7,7,response,10.2,58.82,14.1,13.8,10.76,24.25,0.0,4.30927835051546,0.434343434343434,0.701030927835052,0.25,0,0,0.4375,0.0,11.6281144781145,2025-03-22 18:00:28
15,8,8,prompt,0.9,110.06,4.8,0.0,8.18,12.0,0.0,3.08333333333333,0.333333333333333,0.916666666666667,0.0,0,0,0.0,0.0,4.41111111111111,2025-03-22 18:00:28
16,8,8,response,11.8,49.35,16.08,15.2,10.34,23.25,0.5,4.63440860215054,0.333333333333333,0.709677419354839,0.75,0,0,0.443181818181818,0.0,11.7944444444444,2025-03-22 18:00:28
17,9,9,prompt,2.1,90.77,2.4,0.0,9.2,6.0,0.0,3.66666666666667,0.5,1.0,0.0,0,0,0.383333333333333,0.0,2.86666666666667,2025-03-22 18:00:28
18,9,9,response,17.0,19.6,18.7,18.4,10.89,30.4615384615385,0.25,5.32828282828283,0.509708737864078,0.563131313131313,0.0625,0,0,0.457386363636364,0.0,15.9904157331342,2025-03-22 18:00:28
19,10,10,prompt,0.5,100.24,2.0,0.0,13.36,6.0,0.0,4.0,0.0,1.0,0.0,0,0,0.0,0.0,2.16666666666667,2025-03-22 18:00:28
20,10,10,response,13.1,40.69,14.77,14.3,10.47,25.4285714285714,0.0,4.67977528089888,0.38121546961326,0.612359550561798,0.285714285714286,0,0,0.467307692307692,0.0,12.9699289660616,2025-03-22 18:00:29
21,11,11,prompt,3.7,75.88,11.6,0.0,11.73,5.0,0.0,4.2,0.0,1.0,0.0,0,0,0.0,0.0,2.9,2025-03-22 18:00:29
22,11,11,response,13.4,39.87,15.08,15.4,10.31,26.1,0.1,4.60536398467433,0.319391634980989,0.544061302681992,0.4,0,0,0.279907773386034,0.0,13.2731305449937,2025-03-22 18:00:29
23,12,12,prompt,3.6,97.54,6.4,0.0,14.3,17.0,0.0,3.76470588235294,0.294117647058824,1.0,0.0,0,0,0.0,0.0,6.96470588235294,2025-03-22 18:00:29
24,12,12,response,6.8,84.0,10.3,0.0,13.7,24.0,0.0,3.58333333333333,0.173913043478261,1.0,0.0,0,0,0.4,0.0,10.3246376811594,2025-03-22 18:00:29
25,13,13,prompt,6.8,67.76,9.8,0.0,11.47,13.5,0.0,4.2962962962963,0.407407407407407,0.888888888888889,0.0,0,0,0.596296296296296,0.0,6.90246913580247,2025-03-22 18:00:29
26,13,13,response,10.1,53.71,13.86,0.0,9.92,13.6666666666667,0.0,4.24390243902439,0.390243902439024,0.853658536585366,0.0,1,1,0.682777777777778,0.0,8.05230352303523,2025-03-22 18:00:29
27,14,14,prompt,1.3,92.8,1.6,0.0,7.78,5.0,0.0,3.0,0.2,1.0,0.0,0,0,0.0,0.0,2.16666666666667,2025-03-22 18:00:29
28,14,14,response,10.3,58.52,12.04,12.0,9.4,28.1111111111111,0.0,4.20948616600791,0.393382352941176,0.478260869565217,0.3,0,0,0.289441930618401,0.0,12.9348311546841,2025-03-22 18:00:29
29,15,15,prompt,0.5,100.24,2.0,0.0,0.25,6.0,0.0,3.16666666666667,0.333333333333333,1.0,0.0,0,0,0.0,0.0,2.27777777777778,2025-03-22 18:00:29
30,15,15,response,7.8,65.12,9.87,11.1,9.09,13.425,0.142857142857143,4.25698324022346,0.422222222222222,0.534450651769088,0.0285714285714286,3,0,0.471997227918281,0.00186219739292365,7.21574074074074,2025-03-22 18:00:30
31,16,16,prompt,3.6,92.12,5.2,0.0,9.14,14.0,0.0,4.71428571428571,0.285714285714286,0.857142857142857,0.0,0,0,0.4,0.0,5.96190476190476,2025-03-22 18:00:30
32,16,16,response,8.9,78.42,11.35,0.0,9.72,34.5,0.333333333333333,3.59420289855072,0.191780821917808,0.710144927536232,0.0,1,0,0.65,0.0,14.5305936073059,2025-03-22 18:00:30
33,17,17,prompt,1.3,92.8,1.6,0.0,11.73,5.0,0.0,4.0,0.4,1.0,0.0,0,0,0.0,0.0,2.23333333333333,2025-03-22 18:00:30
34,17,17,response,14.8,25.39,16.16,16.7,10.96,23.4285714285714,0.117647058823529,5.60060975609756,0.539823008849558,0.557926829268293,0.294117647058824,0,0,0.502777777777778,0.0,12.922798145807,2025-03-22 18:00:30
35,18,18,prompt,3.3,93.14,4.8,0.0,6.86,13.0,1.0,4.23076923076923,0.384615384615385,1.0,0.0,0,0,1.0,0.0,5.56153846153846,2025-03-22 18:00:30
36,18,18,response,6.5,79.3,8.29,8.6,7.27,19.2962962962963,0.037037037037037,3.95585412667946,0.461538461538462,0.414587332053743,0.0740740740740741,1,0,0.400097181729835,0.0,8.75261158594492,2025-03-22 18:00:31
37,19,19,prompt,2.9,83.32,10.0,0.0,10.2,6.0,0.0,3.83333333333333,0.333333333333333,1.0,0.0,0,0,0.0,0.0,3.07777777777778,2025-03-22 18:00:31
38,19,19,response,14.5,37.03,15.6,16.6,9.67,29.5714285714286,0.0,4.91787439613527,0.516746411483254,0.545893719806763,0.428571428571429,0,0,0.422670807453416,0.0,14.8627249943039,2025-03-22 18:00:31
39,20,20,prompt,10.3,36.96,16.93,0.0,12.86,11.0,0.0,5.18181818181818,0.363636363636364,1.0,0.0,0,0,0.0,0.0,7.22121212121212,2025-03-22 18:00:31
40,20,20,response,11.9,49.15,13.65,15.0,9.03,26.0,0.0,4.5,0.463414634146342,0.730769230769231,0.0,0,0,0.2125,0.0,12.7878048780488,2025-03-22 18:00:31
41,21,21,prompt,3.3,87.72,3.6,0.0,9.35,10.0,0.0,3.9,0.6,1.0,0.0,0,0,0.5,0.0,4.63333333333333,2025-03-22 18:00:31
42,21,21,response,9.5,49.82,12.89,12.7,10.56,15.5,0.0,5.01075268817204,0.411214953271028,0.602150537634409,0.0,0,0,0.561111111111111,0.0,8.47040498442368,2025-03-22 18:00:31
43,22,22,prompt,6.8,73.17,8.67,0.0,8.59,16.0,0.0,4.1875,0.5,0.875,0.0,0,0,0.45,0.0,7.76666666666667,2025-03-22 18:00:31
44,22,22,response,7.0,78.08,8.48,0.0,9.25,20.5,0.0,3.92682926829268,0.341463414634146,0.804878048780488,0.0,0,0,0.4125,0.0,9.28048780487805,2025-03-22 18:00:31
45,23,23,prompt,2.1,96.18,3.6,0.0,9.35,12.0,0.0,3.91666666666667,0.333333333333333,1.0,0.0,0,0,0.0,0.0,4.81111111111111,2025-03-22 18:00:31
46,23,23,response,5.0,83.15,6.88,0.0,10.15,15.5,0.0,4.09677419354839,0.290322580645161,0.935483870967742,1.0,0,0,0.75,0.0,6.93010752688172,2025-03-22 18:00:31
47,24,24,prompt,0.1,106.67,2.8,0.0,6.24,8.0,0.0,3.75,0.5,1.0,0.0,0,0,0.288888888888889,0.0,2.86666666666667,2025-03-22 18:00:31
48,24,24,response,11.7,44.24,12.71,13.6,9.34,21.6923076923077,0.1875,4.67730496453901,0.484641638225256,0.570921985815603,0.0,0,0,0.455286738351255,0.0,11.292316443511,2025-03-22 18:00:32
49,25,25,prompt,-2.3,118.18,1.6,0.0,7.78,5.0,0.0,2.4,0.2,1.0,0.0,0,0,0.0,0.0,0.966666666666667,2025-03-22 18:00:32
50,25,25,response,4.3,84.98,8.09,8.8,7.88,32.75,0.0,3.19083969465649,0.32824427480916,0.49618320610687,0.25,3,0,0.272916666666667,0.00763358778625954,12.4594147582697,2025-03-22 18:00:32
51,26,26,prompt,14.6,31.21,16.16,0.0,10.96,24.0,0.0,5.08333333333333,0.375,0.833333333333333,0.0,0,0,0.6,0.0,12.9916666666667,2025-03-22 18:00:32
52,26,26,response,13.6,33.75,14.79,14.9,10.24,23.625,0.222222222222222,4.98412698412698,0.388888888888889,0.576719576719577,0.222222222222222,0,0,0.419393939393939,0.0,12.537962962963,2025-03-22 18:00:32
53,27,27,prompt,11.1,67.42,12.98,0.0,7.25,37.0,0.0,3.27027027027027,0.378378378378378,0.675675675675676,0.0,0,0,0.05,0.0,16.1594594594595,2025-03-22 18:00:32
54,27,27,response,13.0,56.93,14.98,0.0,8.23,36.0,0.0,4.33333333333333,0.317073170731707,0.805555555555556,1.0,0,0,0.25,0.0,16.4390243902439,2025-03-22 18:00:32
55,28,28,prompt,9.2,45.42,12.49,0.0,12.86,11.0,0.0,5.0,0.363636363636364,1.0,0.0,0,0,0.0,0.0,6.85454545454545,2025-03-22 18:00:32
56,28,28,response,11.3,45.25,13.86,0.0,10.37,20.5,0.0,4.70731707317073,0.325581395348837,0.707317073170732,0.0,0,0,0.270833333333333,0.0,10.7085271317829,2025-03-22 18:00:32
57,29,29,prompt,8.0,53.88,12.49,0.0,9.35,10.0,0.0,4.3,0.2,1.0,0.0,0,0,0.45,0.0,6.06666666666667,2025-03-22 18:00:32
58,29,29,response,11.0,46.06,15.48,15.0,11.1,20.0,0.333333333333333,4.61666666666667,0.435483870967742,0.8,0.0,0,1,0.441880341880342,0.0,10.4784946236559,2025-03-22 18:00:32
59,30,30,prompt,2.5,89.75,2.8,0.0,8.5,8.0,0.0,3.625,0.25,1.0,0.0,0,0,0.0,0.0,3.58333333333333,2025-03-22 18:00:32
60,30,30,response,5.6,81.63,7.33,0.0,9.12,17.0,0.0,4.0,0.205882352941176,0.764705882352941,0.5,0,0,0.2,0.0,7.60196078431373,2025-03-22 18:00:33
61,31,31,prompt,0.9,99.23,2.4,0.0,9.2,6.0,0.0,4.5,0.166666666666667,1.0,0.0,0,0,0.3,0.0,2.35555555555556,2025-03-22 18:00:33
62,31,31,response,12.7,41.6,13.03,14.3,9.16,27.5384615384615,0.307692307692308,4.76815642458101,0.37467018469657,0.511173184357542,0.153846153846154,3,0,0.553760597041847,0.0,13.537710574386,2025-03-22 18:00:33
63,32,32,prompt,2.5,95.17,4.0,0.0,8.87,10.0,0.0,3.8,0.1,1.0,0.0,0,0,0.0,0.0,4.2,2025-03-22 18:00:33
64,32,32,response,7.2,72.16,8.9,0.0,10.84,21.0,0.0,3.85714285714286,0.261904761904762,0.833333333333333,0.5,0,0,0.333333333333333,0.0,9.48730158730159,2025-03-22 18:00:33
65,33,33,prompt,0.5,105.66,3.2,0.0,9.95,9.0,0.0,3.66666666666667,0.111111111111111,1.0,0.0,0,0,0.15,0.0,3.2037037037037,2025-03-22 18:00:33
66,33,33,response,13.8,38.66,15.55,14.8,10.0,27.2857142857143,0.428571428571429,4.75392670157068,0.409326424870466,0.602094240837696,0.142857142857143,0,0,0.354,0.0,13.8316802368616,2025-03-22 18:00:33
67,34,34,prompt,-2.3,118.18,1.6,0.0,7.78,4.0,0.0,3.25,0.25,1.0,0.0,0,0,0.0,0.0,0.65,2025-03-22 18:00:33
68,34,34,response,11.1,45.76,13.2,13.5,10.0,21.0952380952381,0.0869565217391304,4.85553047404063,0.440860215053763,0.496613995485327,0.173913043478261,1,0,0.551178451178451,0.0,10.878699436764,2025-03-22 18:00:34
69,35,35,prompt,9.2,34.59,14.53,0.0,9.05,4.0,0.0,4.75,0.25,1.0,0.0,0,0,0.0,0.0,4.48333333333333,2025-03-22 18:00:34
70,35,35,response,15.5,23.46,16.28,17.8,10.16,25.6666666666667,0.444444444444444,5.09090909090909,0.478632478632479,0.541125541125541,0.111111111111111,0,0,0.356149732620321,0.0,13.8817663817664,2025-03-22 18:00:34
71,36,36,prompt,5.6,76.22,8.13,0.0,5.55,13.0,0.0,3.84615384615385,0.461538461538462,0.846153846153846,0.0,0,0,0.6,0.0,6.35384615384615,2025-03-22 18:00:34
72,36,36,response,12.7,36.08,14.84,15.1,11.05,20.6470588235294,0.0476190476190476,5.0997150997151,0.49867374005305,0.58974358974359,0.0,1,0,0.591075141075141,0.0,11.2819108545275,2025-03-22 18:00:34
73,37,37,prompt,2.9,83.32,10.0,0.0,10.2,6.0,0.0,5.33333333333333,0.333333333333333,1.0,0.0,0,0,0.0,0.0,3.07777777777778,2025-03-22 18:00:34
74,37,37,response,12.8,30.67,15.31,14.6,11.85,18.3333333333333,0.0,5.44545454545455,0.527272727272727,0.636363636363636,0.166666666666667,0,0,0.3175,0.0,10.5535353535354,2025-03-22 18:00:34
75,38,38,prompt,3.7,81.29,8.51,0.0,10.75,7.0,0.0,4.85714285714286,0.428571428571429,1.0,0.0,0,0,0.0,0.0,3.70952380952381,2025-03-22 18:00:34
76,38,38,response,7.3,77.27,10.32,10.7,8.9,22.0,0.0,3.94318181818182,0.363636363636364,0.613636363636364,0.5,0,0,0.0833333333333333,0.0,9.88787878787879,2025-03-22 18:00:34
77,39,39,prompt,2.1,90.77,9.07,0.0,9.2,7.0,0.0,3.57142857142857,0.142857142857143,1.0,0.0,0,0,0.0,0.0,3.08095238095238,2025-03-22 18:00:34
78,39,39,response,11.6,44.44,13.0,14.8,9.96,16.6857142857143,0.258064516129032,4.84417808219178,0.39870340356564,0.518835616438356,0.032258064516129,0,0,0.471117424242424,0.0,9.56147256309331,2025-03-22 18:00:35
79,40,40,prompt,1.3,92.8,1.6,0.0,11.73,7.0,0.0,3.14285714285714,0.0,1.0,0.0,0,0,0.0,0.0,2.76666666666667,2025-03-22 18:00:35
80,40,40,response,14.1,43.46,15.97,15.1,10.5,31.6,0.2,4.5,0.352201257861635,0.60126582278481,0.6,1,0,0.460164835164835,0.0,15.3507337526205,2025-03-22 18:00:35
81,41,41,prompt,15.4,40.01,20.14,0.0,10.78,31.0,0.0,4.90322580645161,0.516129032258065,0.774193548387097,0.0,0,0,0.416666666666667,0.0,15.6387096774194,2025-03-22 18:00:35
82,41,41,response,15.6,23.26,16.11,17.0,10.59,24.6875,0.529411764705882,5.43037974683544,0.487623762376238,0.579746835443038,0.352941176470588,0,1,0.309444444444444,0.0,13.5917079207921,2025-03-22 18:00:35
83,42,42,prompt,2.9,83.32,10.0,0.0,7.04,6.0,0.0,4.0,0.333333333333333,1.0,1.0,0,0,0.0,0.0,3.07777777777778,2025-03-22 18:00:35
84,42,42,response,9.3,61.16,12.81,13.0,10.53,21.0,0.0,4.5952380952381,0.430232558139535,0.702380952380952,0.5,1,0,0.295,0.0,10.2434108527132,2025-03-22 18:00:36
85,43,43,prompt,6.8,62.34,8.04,0.0,11.1,9.0,0.0,5.66666666666667,0.666666666666667,1.0,0.0,0,0,0.0,0.0,5.48888888888889,2025-03-22 18:00:36
86,43,43,response,3.4,87.42,5.73,8.0,7.72,12.6507936507937,0.0657894736842105,3.51317440401506,0.371747211895911,0.411543287327478,0.0131578947368421,1,1,0.632944139194139,0.0,5.47418028756319,2025-03-22 18:00:36
