id,original_id,prompt_id,text_type,flesch_kincaid_grade,flesch_reading_ease,gunning_fog,smog_index,dale_chall,avg_sentence_length,subordinate_clauses,avg_word_length,lexical_density,type_token_ratio,passive_ratio,errors,transitions,subjectivity,formality,complexity,analyzed_at
1,1,1,prompt,8.0,48.47,9.07,0.0,11.83,7.0,0.0,5.28571428571429,0.285714285714286,1.0,0.0,0,0,0.0,0.0,5.0952380952381,2025-03-22 17:07:06
2,1,1,response,10.5,47.28,11.36,0.0,11.54,19.0,0.0,4.81578947368421,0.333333333333333,0.81578947368421,0.0,0,0,0.3375,0.0,9.94444444444444,2025-03-22 17:07:07
3,2,2,prompt,-2.1,117.67,1.8,0.0,7.37,5.0,0.0,3.2,0.2,1.0,0.0,0,0,0.0,0.0,1.03333333333333,2025-03-22 17:07:07
4,2,2,response,5.6,76.22,8.13,8.8,9.93,13.3333333333333,0.0,4.0,0.425,0.725,0.333333333333333,0,0,0.5,0.0,6.45277777777778,2025-03-22 17:07:07
5,3,3,prompt,4.1,80.28,3.2,0.0,7.98,9.0,0.0,4.33333333333333,0.444444444444444,1.0,0.0,0,0,0.4,0.0,4.51481481481482,2025-03-22 17:07:07
6,3,3,response,10.4,52.9,12.1,12.7,9.34,20.75,0.0,4.85240963855422,0.478753541076487,0.563253012048193,0.210526315789474,1,0,0.630208333333333,0.0,10.5429178470255,2025-03-22 17:07:07
7,4,4,prompt,5.6,81.63,6.0,0.0,10.7,22.0,0.0,3.54545454545455,0.333333333333333,0.909090909090909,0.0,0,0,0.0,0.0,9.31111111111111,2025-03-22 17:07:07
8,4,4,response,6.6,68.26,6.34,0.0,7.64,14.5,0.5,4.31034482758621,0.379310344827586,0.724137931034483,0.0,0,0,0.0,0.0,7.15977011494253,2025-03-22 17:07:07
9,5,5,prompt,7.6,49.48,18.0,0.0,10.2,6.0,0.0,4.5,0.166666666666667,1.0,1.0,0,0,0.0,0.0,4.58888888888889,2025-03-22 17:07:07
10,5,5,response,8.8,46.44,13.2,0.0,11.93,10.0,0.0,4.1,0.1,1.0,1.0,0,0,0.0,0.0,6.3,2025-03-22 17:07:08
11,6,6,prompt,2.5,100.58,5.2,0.0,6.71,15.0,1.0,3.13333333333333,0.4,0.866666666666667,0.0,0,0,0.5,0.0,5.96666666666667,2025-03-22 17:07:08
12,6,6,response,7.4,76.86,9.24,7.8,7.29,22.3333333333333,0.333333333333333,3.67164179104478,0.432835820895522,0.611940298507463,0.333333333333333,0,0,0.325,0.0,10.0553897180763,2025-03-22 17:07:08
13,7,7,prompt,6.8,78.59,11.64,0.0,8.04,21.0,0.0,3.9047619047619,0.285714285714286,0.857142857142857,0.0,0,0,0.0,0.0,9.36190476190476,2025-03-22 17:07:08
14,7,7,response,10.3,53.21,14.76,14.6,10.32,21.4,0.0,4.4392523364486,0.390909090909091,0.757009345794392,0.2,1,0,0.543981481481482,0.0,10.6969696969697,2025-03-22 17:07:08
15,8,8,prompt,0.9,110.06,4.8,0.0,8.18,12.0,0.0,3.08333333333333,0.333333333333333,0.916666666666667,0.0,0,0,0.0,0.0,4.41111111111111,2025-03-22 17:07:08
16,8,8,response,8.9,62.38,11.56,12.6,10.67,25.6666666666667,0.0,4.49350649350649,0.25,0.727272727272727,0.666666666666667,0,0,0.636363636363636,0.0,11.6055555555556,2025-03-22 17:07:08
17,9,9,prompt,2.1,90.77,2.4,0.0,9.2,6.0,0.0,3.66666666666667,0.5,1.0,0.0,0,0,0.383333333333333,0.0,2.86666666666667,2025-03-22 17:07:08
